info,url
tokio: fix remaining issues about atomic_u64_static_once_cell.rs (,https://github.com//tokio-rs/tokio/commit/40782efb769ef8d0df070089f9bca8b6125d6421
chore: add tokio_no_atomic_u64 cfg (,https://github.com//tokio-rs/tokio/commit/fc83e01949198e10477020eaba560e91dc66054e
metrics: correctly update atomics in IoDriverMetrics (,https://github.com//tokio-rs/tokio/commit/6c0a9942ba5dd896a350d854020d01080700ec66
tokio: add riscv32 to non atomic64 architectures (,https://github.com//tokio-rs/tokio/commit/eb7a615c96c7c568654141e470cd4c1a43d65af4
timer: improve memory ordering in Inner's increment (,https://github.com//tokio-rs/tokio/commit/3fb213a8612699a46b2ccbeddd9adfbe3c468287
rt: use release ordering in,https://github.com//tokio-rs/tokio/commit/a7a79f28a8fe288ec92593835583160f455707ad
timer: test arm on targets with target_has_atomic less than 64 (,https://github.com//tokio-rs/tokio/commit/42a5cb150868e98aa4b6bbf65a5a04faabbc8755
timer: 32 bit ARM only has 32 bit atomics. (,https://github.com//tokio-rs/tokio/commit/695165feac9337806c135eda537b40a86333314c
timer: use our own AtomicU64 on targets with target_has_atomic less t…,https://github.com//tokio-rs/tokio/commit/efb27731adcff502109ec3489bdde0b6f3cba1e7
timer: use std::sync::atomic::AtomicU64 instead of own AtomicU64 (,https://github.com//tokio-rs/tokio/commit/42fa0c28d3c087db0bfe08c0e439a5b84e0f7ec3
readme: fix section ordering (,https://github.com//tokio-rs/tokio/commit/97618746de64c07e31c9532e46f870b8aee2b4f3
